sample_dir,field,hash,crop_path
data\A1,start_min,41c78277cab99e20f54c1016dbcd4c28,outputs\debug\crop_start_min_000.png
data\A1,end_min,26fa258a431569b6d0e5caf973e833f2,outputs\debug\crop_end_min_001.png
data\A1,peak_width_sec,06d0cdafd954ff55f63245d8687679c8,outputs\debug\crop_peak_width_sec_002.png
data\A1,detection_threshold,f365f5892cfddd3f05d19116651d9338,outputs\debug\crop_detection_threshold_003.png
data\A1,minimum_area,25f040f945d997ca5130d39ef1bd127a,outputs\debug\crop_minimum_area_004.png
data\A1,minimum_height,c86097a7bd1be9952c82640b81728d3e,outputs\debug\crop_minimum_height_005.png
data\A10,start_min,9872f14deb23eb007e3f5fb54e3a8e08,outputs\debug\crop_start_min_006.png
data\A10,end_min,e8a7ab83eb0640d46821d5a8a0e0799b,outputs\debug\crop_end_min_007.png
data\A10,peak_width_sec,e227141a136529431e23791a08bed179,outputs\debug\crop_peak_width_sec_008.png
data\A10,detection_threshold,dfcd888a0c18c3f8660f69a88120dadf,outputs\debug\crop_detection_threshold_009.png
data\A10,minimum_area,bde6b6c5c301e01739e3ddce89d040bc,outputs\debug\crop_minimum_area_010.png
data\A10,minimum_height,596b2a4d1d52893aa4ea485829a3faa1,outputs\debug\crop_minimum_height_011.png
data\A11,start_min,b00d9548f1d292193300b8a499c7c4a5,outputs\debug\crop_start_min_012.png
data\A11,end_min,b55c446743ff96921ce917c3f071e12c,outputs\debug\crop_end_min_013.png
data\A11,peak_width_sec,f0a7dcf902082995a0051c2adf86735c,outputs\debug\crop_peak_width_sec_014.png
data\A11,detection_threshold,42c97ea6d70f7042e76d2447f6c5a841,outputs\debug\crop_detection_threshold_015.png
data\A11,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A11,minimum_height,459d8a26e6abed03d4776bbe705b19f5,outputs\debug\crop_minimum_height_017.png
data\A12,start_min,1029978b4c4c5c139ad26a9056806f7e,outputs\debug\crop_start_min_018.png
data\A12,end_min,65d1ec76ff8db7887f43317ee2f88e13,outputs\debug\crop_end_min_019.png
data\A12,peak_width_sec,c26297f5f62c02250cbc5aa467d60920,outputs\debug\crop_peak_width_sec_020.png
data\A12,detection_threshold,853f28aed9052bcf93bd7fe0425cb3df,outputs\debug\crop_detection_threshold_021.png
data\A12,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A12,minimum_height,93106dc208e7a0a52fc68fdca2c57d60,outputs\debug\crop_minimum_height_022.png
data\A13,start_min,a129eed06d8ed639bbc1a132e37171ec,outputs\debug\crop_start_min_023.png
data\A13,end_min,8033403e11af7657af0453af074e1664,outputs\debug\crop_end_min_024.png
data\A13,peak_width_sec,4bca6f81171359e2f4fef50c995bc726,outputs\debug\crop_peak_width_sec_025.png
data\A13,detection_threshold,75f3e9db7861688fcf8e6ed0df0c035e,outputs\debug\crop_detection_threshold_026.png
data\A13,minimum_area,49125abc766b36189a6539f1fb293337,outputs\debug\crop_minimum_area_027.png
data\A13,minimum_height,ad8c0eaa2a6644361f9425beab0d27fc,outputs\debug\crop_minimum_height_028.png
data\A15,start_min,173dbd5f14d8c69adcc4a0dafe34043e,outputs\debug\crop_start_min_029.png
data\A15,end_min,6741a12b8803789c344d20cd4b465f89,outputs\debug\crop_end_min_030.png
data\A15,peak_width_sec,ef4e775c6fc1b49b74302aad8231ea78,outputs\debug\crop_peak_width_sec_031.png
data\A15,detection_threshold,afd294dabacebc7b95324fd1d555ebd2,outputs\debug\crop_detection_threshold_032.png
data\A15,minimum_area,b2107d4f4814421001ecb800f3af2322,outputs\debug\crop_minimum_area_033.png
data\A15,minimum_height,7c4160f6de8f1168c12f54bfb02221e7,outputs\debug\crop_minimum_height_034.png
data\A16,start_min,7ccae6e8ebdbc8689c65c17f32949516,outputs\debug\crop_start_min_035.png
data\A16,end_min,ad96cadcb6d32ca99ef915834a30a8f8,outputs\debug\crop_end_min_036.png
data\A16,peak_width_sec,b9bb456197737172a5df1cd3651dcc81,outputs\debug\crop_peak_width_sec_037.png
data\A16,detection_threshold,afd34770ef50b6726c9f89f5a4d4eb76,outputs\debug\crop_detection_threshold_038.png
data\A16,minimum_area,0d42bb707b2849a0820de2adebb2eb9d,outputs\debug\crop_minimum_area_039.png
