field,hash,crop_path,example_sample_dir,example_png,count
start_min,41c78277cab99e20f54c1016dbcd4c28,outputs\debug\crop_start_min_000.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
end_min,26fa258a431569b6d0e5caf973e833f2,outputs\debug\crop_end_min_001.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
peak_width_sec,06d0cdafd954ff55f63245d8687679c8,outputs\debug\crop_peak_width_sec_002.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
detection_threshold,f365f5892cfddd3f05d19116651d9338,outputs\debug\crop_detection_threshold_003.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
minimum_area,25f040f945d997ca5130d39ef1bd127a,outputs\debug\crop_minimum_area_004.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
minimum_height,c86097a7bd1be9952c82640b81728d3e,outputs\debug\crop_minimum_height_005.png,data\A1,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,3
start_min,9872f14deb23eb007e3f5fb54e3a8e08,outputs\debug\crop_start_min_006.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,1
end_min,e8a7ab83eb0640d46821d5a8a0e0799b,outputs\debug\crop_end_min_007.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,1
peak_width_sec,e227141a136529431e23791a08bed179,outputs\debug\crop_peak_width_sec_008.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,1
detection_threshold,dfcd888a0c18c3f8660f69a88120dadf,outputs\debug\crop_detection_threshold_009.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,1
minimum_area,bde6b6c5c301e01739e3ddce89d040bc,outputs\debug\crop_minimum_area_010.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,2
minimum_height,596b2a4d1d52893aa4ea485829a3faa1,outputs\debug\crop_minimum_height_011.png,data\A10,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,1
start_min,b00d9548f1d292193300b8a499c7c4a5,outputs\debug\crop_start_min_012.png,data\A11,data\A11\6cd66dfa-3673-473b-9de3-8ef98febe15e.png,1
