sample_dir,group_root,sample_name,arw_path,arw_size,arw_md5,cdf_path,cdf_size,rpt_path,rpt_size,png_count,parameter_pngs,plot_pngs,unknown_pngs,status,arw_trace_points,arw_time_min,arw_time_max,arw_signal_min,arw_signal_max,arw_signal_range,arw_baseline_p05,arw_noise_early_mad,arw_main_peak_time,arw_width_above_1pct,arw_width_above_5pct,arw_integrated_peak_count,arw_integrated_area_sum,arw_integrated_max_height,rpt_trace_points,rpt_time_min,rpt_time_max,rpt_signal_min,rpt_signal_max,rpt_signal_range,rpt_baseline_p05,rpt_noise_early_mad,rpt_main_peak_time,rpt_width_above_1pct,rpt_width_above_5pct,rpt_integrated_peak_count,rpt_integrated_area_sum,rpt_integrated_max_height,target_peak_count,hmws_time,hmws_height,hmws_area,hmws_area_pct_norm,monomer_time,monomer_height,monomer_area,monomer_area_pct_norm,lmws_time,lmws_height,lmws_area,lmws_area_pct_norm,duplicate_group_size,duplicate_dirs
data\A1,data,A1,data\A1\Method3252.arw,67084,c7f4b8d0ca12473fbc74f9ab62c2965f,data\A1\Method3252.cdf,25512,data\A1\Method_m32_result_3289.rpt,65410,2,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,data\A1\06da9426-ca9d-4235-b2ad-e831a54a913e.png,,ok,3000,0.0028125,9.999479,-5.233288e-05,0.3042557,0.30430803288,-4.887581e-05,3.6060815e-06,5.112813,0.5333329999999998,0.35666700000000073,0,0.0,0.0,3000,0.0028125,9.999479,0.0,100.0,100.0,0.001136043,0.001185015000000001,5.112813,0.5333329999999998,0.35666700000000073,3,51378.313019,0.304314,3,4.389747,0.0005783072,165.8623,0.32282550798945686,5.113978,0.304314,51204.25,99.66121305124278,6.115086,5.752986e-05,8.200719,0.015961440767756088,3,data\A1;data\A3;extra\42
data\A10,data,A10,data\A10\data7482.arw,201028,d0787d3c2d9a7a2057527678183a4bfe,data\A10\data7482.cdf,73660,data\A10\data_m32_result_7685.rpt,179200,2,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,,data\A10\c8fdfb66-b60d-4beb-b362-f1d37b935090.png,ok,9000,0.0001041667,29.99677,-0.0004627705,0.1045935,0.1050562705,-0.0002304912,1.063943e-05,15.1701,10.043330000000001,9.42333,0,0.0,0.0,9000,0.0001041667,29.99677,0.0,100.0,100.0,0.2211,0.01012739999999998,15.1701,10.043330000000001,9.42333,6,55580.42628,0.1047213,0,,,,,,,,,,,,,1,
data\A11,data,A11,data\A11\data7622.arw,196504,05428fc7c249d2ad039d2a54696b6ed9,data\A11\data7622.cdf,73228,data\A11\data_m32_result_7689.rpt,181212,2,data\A11\89fb5ae9-a06e-4eb8-a472-61cc65067921.png,,data\A11\6cd66dfa-3673-473b-9de3-8ef98febe15e.png,ok,9000,0.003020833,29.99969,-0.000246644,0.1039328,0.10417944400000001,2.378226e-05,6.4373e-06,15.16302,9.536659999999998,1.09333,0,0.0,0.0,9000,0.003020833,29.99969,0.0,100.0,100.0,0.2595774,0.006179099999999993,15.16302,9.536659999999998,1.09333,6,54968.68758,0.1038753,0,,,,,,,,,,,,,1,
data\A12,data,A12,data\A12\data7602.arw,195353,39964f50efe61d14f679dd42c14c4bee,data\A12\data7602.cdf,73568,data\A12\data_m32_result_7688.rpt,170673,2,data\A12\7b1036ff-f04b-4e9b-9325-21c26c01d9a9.png,,data\A12\646c0e3f-5a8f-4495-83d3-234de5968902.png,ok,9000,0.0009375,29.9976,-0.0002563596,0.006663561,0.0069199206,1.972914e-05,6.139275000000001e-06,15.1776,13.37,9.393340000000002,0,0.0,0.0,9000,0.0009375,29.9976,0.0,100.0,100.0,3.989767,0.08871900000000021,15.1776,13.37,9.393340000000002,4,3537.11585,0.006626359,0,,,,,,,,,,,,,1,
data\A13,data,A13,data\A13\data6460.arw,195572,cd44b15b85bad10eddd6258bcff0eef4,data\A13\data6460.cdf,73656,data\A13\data_m32_result_6526.rpt,191781,2,data\A13\1485b2e3-c11c-413c-818b-c12990e1986e.png,,data\A13\e76c1b90-3eee-427d-a1a9-8d5b5af41650.png,ok,9000,0.0021875,29.99885,-5.960464e-07,0.2878027,0.28780329604640004,3.3348798000000026e-06,3.15905e-06,15.16885,9.17,1.0666700000000002,0,0.0,0.0,9000,0.0021875,29.99885,0.0,100.0,100.0,0.001365837500000001,0.001097641,15.16885,9.17,1.0666700000000002,6,144332.79061999999,0.2877797,0,,,,,,,,,,,,,1,
data\A14,data,A14,data\A14\data6468.arw,192892,0135ac349a165fd0b92af7127314d1a0,data\A14\data6468.cdf,73228,data\A14\data_m32_result_6528.rpt,189208,0,,,,missing_png|no_parameter_png_detected,9000,0.0007291667,29.9974,4.947186e-06,0.2857748,0.28576985281399997,1.007319e-05,2.95043e-06,15.1674,9.190000000000001,1.1133400000000009,0,0.0,0.0,9000,0.0007291667,29.9974,0.001731148,100.0,99.998268852,0.003524868,0.0010324319999999998,15.1674,9.190000000000001,1.1133400000000009,6,150734.02366,0.2857488,0,,,,,,,,,,,,,1,
data\A15,data,A15,data\A15\data6464.arw,196207,e76a7500eecfab8898241f17e4183c5a,data\A15\data6464.cdf,73708,data\A15\data_m32_result_6527.rpt,191484,2,data\A15\ec496b7b-3838-4d59-97de-1dbd8296f808.png,,data\A15\f77b6f18-542a-414c-abe8-449297c45a9b.png,ok,9000,0.0005208334,29.99719,-9.715558e-06,0.2964128,0.296422515558,-5.483628e-06,3.9339069e-06,15.16719,9.186670000000001,1.1066699999999994,0,0.0,0.0,9000,0.0005208334,29.99719,0.0,100.0,100.0,0.001427668,0.001327128,15.16719,9.186670000000001,1.1066699999999994,7,156550.8462,0.2963904,0,,,,,,,,,,,,,1,
data\A16,data,A16,data\A16\data5511.arw,198916,d8e2680022379b1fe5a8f9dbff7f1937,data\A16\data5511.cdf,73760,data\A16\data_m32_result_5651.rpt,185367,2,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,,data\A16\f2c21858-dc07-4b3f-8fd1-871c77554093.png,ok,9000,0.001145833,29.99781,-0.0002200604,0.2214316,0.2216516604,-0.00019270478,8.195635000000002e-06,16.58115,10.546669999999999,1.4600000000000009,0,0.0,0.0,9000,0.001145833,29.99781,0.0,100.0,100.0,0.012341685500000001,0.003697524999999993,16.58115,10.546669999999999,1.4600000000000009,8,145137.53660000002,0.2215244,0,,,,,,,,,,,,,1,
data\A17,data,A17,data\A17\data5515.arw,198657,07d3992e13f5ef7d747e0e6d614763dc,data\A17\data5515.cdf,73760,data\A17\data_m32_result_5652.rpt,184990,2,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,,data\A17\f4b85cc4-81e7-4b57-a66d-653f979334dc.png,ok,9000,0.001354167,29.99802,-0.0002353788,0.2285318,0.2287671788,-0.0001904965,7.301569999999999e-06,16.58469,10.516670000000001,1.4633299999999991,0,0.0,0.0,9000,0.001354167,29.99802,0.0,100.0,100.0,0.0196192,0.003191704999999996,16.58469,10.516670000000001,1.4633299999999991,8,149598.84329999998,0.2286092,0,,,,,,,,,,,,,1,
data\A18,data,A18,data\A18\data5519.arw,197076,a7105e490fae7ef020cbea7343b55092,data\A18\data5519.cdf,73712,data\A18\data_m32_result_5653.rpt,182116,2,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,,data\A18\fdd09dba-97bf-4d06-b800-c1e8c3dcaf31.png,ok,9000,0.0015625,29.99823,-0.0002785325,0.2145842,0.21486273250000001,-0.00019777118,9.566545000000002e-06,16.58823,10.52334,1.4866700000000002,0,0.0,0.0,9000,0.0015625,29.99823,0.0,100.0,100.0,0.037587383,0.004452350000000001,16.58823,10.52334,1.4866700000000002,7,141166.58942,0.2146821,0,,,,,,,,,,,,,1,
