profile_id,Peak Width,Detection Threshold,Minimum Height,rows,sources,examples
20.0000|10.0000|30.0000,20.0,10.0,30.0,3,ocr_training_reviewed,test2\16;test2\17;test2\18
30.0000|10.0000|30.0000,30.0,10.0,30.0,4,legacy_ocr_review;manual_confirmed,data\BC3;data\BC4;data\BC5;test2\7
30.0000|15.0000|10.0000,30.0,15.0,10.0,19,legacy_ocr_review,data\A4;data\A6;data\B6;extra\68;extra\71;extra\72;extra\73;extra\75
40.0000|0.0000|0.0000,40.0,0.0,0.0,3,manual_confirmed,test2\4;test2\5;test2\6
40.0000|0.0000|30.0000,40.0,0.0,30.0,1,legacy_ocr_review,extra\59
40.0000|10.0000|30.0000,40.0,10.0,30.0,24,legacy_ocr_review;ocr_training_reviewed,data\A1;data\A2;data\B2;data\B4;data\B5;data\BE1;extra\46;extra\48
50.0000|0.5000|0.0000,50.0,0.5,0.0,8,legacy_ocr_review;manual_confirmed,extra\D1;extra\D2;extra\D3;extra\D4;extra\D5;test2\1;test2\2;test2\3
50.0000|15.0000|20.0000,50.0,15.0,20.0,2,legacy_ocr_review,data\B1;data\BC1
50.0000|18.0000|20.0000,50.0,18.0,20.0,3,legacy_ocr_review,data\A10;data\A11;data\A12
60.0000|25.0000|40.0000,60.0,25.0,40.0,3,user_confirmed_ocr_training,test2\70;test2\71;test2\72
70.0000|10.0000|10.0000,70.0,10.0,10.0,6,legacy_ocr_review,data\B13;data\B14;data\B15;data\BC10;data\BC11;data\BC9
70.0000|30.0000|0.0000,70.0,30.0,0.0,3,legacy_ocr_review,data\BC6;data\BC7;data\BC8
70.0000|30.0000|20.0000,70.0,30.0,20.0,3,legacy_ocr_review,data\A16;data\A17;data\A18
80.0000|10.0000|10.0000,80.0,10.0,10.0,3,legacy_ocr_review,data\B10;data\B11;data\B12
80.0000|15.0000|0.0000,80.0,15.0,0.0,3,user_confirmed_ocr_training,test2\82;test2\83;test2\84
80.0000|15.0000|10.0000,80.0,15.0,10.0,3,legacy_ocr_review,data\A7;data\A8;data\A9
80.0000|20.0000|11.0000,80.0,20.0,11.0,3,legacy_ocr_review,data\BC2;extra\92;extra\99
80.0000|20.0000|20.0000,80.0,20.0,20.0,9,legacy_ocr_review;user_confirmed_ocr_training,data\A19;data\A20;data\A21;test2\85;test2\86;test2\87;test2\88;test2\89
80.0000|20.0000|32.0000,80.0,20.0,32.0,5,legacy_ocr_review,data\B3;data\B7;extra\HT LL 3;extra\HT LL 4;extra\HT LL 5
80.0000|30.0000|20.0000,80.0,30.0,20.0,3,user_confirmed_ocr_training,test2\91;test2\92;test2\93
90.0000|100.0000|10.0000,90.0,100.0,10.0,2,user_confirmed_ocr_training,test2\79;test2\80
100.0000|1.0000|0.0000,100.0,1.0,0.0,6,ocr_training_reviewed;user_confirmed_ocr_training,test2\10;test2\11;test2\12;test2\67;test2\68;test2\69
100.0000|10.0000|10.0000,100.0,10.0,10.0,10,legacy_ocr_review;user_confirmed_ocr_training,data\A13;data\A15;extra\N1;extra\N2;extra\N3;extra\N4;extra\N5;test2\37
100.0000|20.0000|19.0000,100.0,20.0,19.0,3,user_confirmed_ocr_training,test2\94;test2\95;test2\96
100.0000|20.0000|20.0000,100.0,20.0,20.0,9,user_confirmed_ocr_training,test2\58;test2\59;test2\60;test2\61;test2\62;test2\63;test2\76;test2\77
100.0000|20.0000|30.0000,100.0,20.0,30.0,3,user_confirmed_ocr_training,test2\97;test2\98;test2\99
100.0000|20.0000|50.0000,100.0,20.0,50.0,2,user_confirmed_ocr_training,test2\64;test2\65
100.0000|20.0000|58.0000,100.0,20.0,58.0,1,user_confirmed_ocr_training,test2\66
100.0000|25.0000|10.0000,100.0,25.0,10.0,3,user_confirmed_ocr_training,test2\55;test2\56;test2\57
100.0000|50.0000|50.0000,100.0,50.0,50.0,3,user_confirmed_ocr_training,test2\34;test2\35;test2\36
100.0000|100.0000|50.0000,100.0,100.0,50.0,2,user_confirmed_ocr_training,test2\S2;test2\S3
110.0000|10.0000|20.0000,110.0,10.0,20.0,3,user_confirmed_ocr_training,test2\73;test2\74;test2\75
120.0000|0.0000|10.0000,120.0,0.0,10.0,3,ocr_training_reviewed,test2\31;test2\32;test2\33
120.0000|10.0000|10.0000,120.0,10.0,10.0,3,user_confirmed_ocr_training,test2\52;test2\53;test2\54
120.0000|15.0000|5.0000,120.0,15.0,5.0,3,ocr_training_reviewed,test2\28;test2\29;test2\30
120.0000|20.0000|0.0000,120.0,20.0,0.0,3,user_confirmed_ocr_training,test2\46;test2\47;test2\48
120.0000|20.0000|10.0000,120.0,20.0,10.0,3,user_confirmed_ocr_training,test2\49;test2\50;test2\51
